,Unemployment_Rate,Student_Rate,Retired_Rate,Home_Family_Rate,LongTerm_Sick_Disabled_Rate,Other_Inactive_Rate,Young_Population_Rate,Working_Age_Rate,Elderly_Population_Rate,No_Qualification_Rate,Level1_Qualification_Rate,Level2_Qualification_Rate,Apprenticeship_Rate,Level3_Qualification_Rate,Level4Plus_Qualification_Rate,Other_Qualification_Rate,Low_Qualification_Rate,Good_Health_Rate,Fair_Health_Rate,Poor_Health_Rate,Disability_Rate,Not_Disabled_Rate,Migrant_Within_UK_Rate,Migrant_Outside_UK_Rate,Asian_Rate,Black_Rate,Mixed_Rate,White_Rate,Other_Ethnic_Group_Rate,No_Car_Van_Rate,One_Car_Van_Rate,Two_Cars_Vans_Rate,ThreePlus_Cars_Vans_Rate,Any_Car_Van_Rate,Work_From_Home_Rate,Public_Transport_Rate,Car_Commute_Rate,Active_Travel_Rate,Other_Transport_Rate,Owned_Rate,Shared_Ownership_Rate,Social_Rented_Rate,Private_Rented_Rate,Lives_Rent_Free_Rate,House_Rate,Purpose_Built_Flat_Rate,Converted_Building_Rate,Other_Temporary_Accommodation_Rate,Managerial_Rate,Intermediate_Occupations_Rate,Small_Employers_Rate,Lower_Occupations_Rate,Never_Worked_Rate,Full_Time_Students_Rate,Primary_Industry_Rate,Production_Construction_Rate,Consumer_Services_Rate,Business_Knowledge_Services_Rate,Public_Services_Rate,Other_Services_Rate,Population_per_km2,IMD_Score,IMD_Rank,IMD_Decile,Income_Deprivation_Score,Employment_Deprivation_Score,Education_Deprivation_Score,Health_Deprivation_Score,Crime_Deprivation_Score,Housing_Services_Deprivation_Score,Living_Environment_Deprivation_Score
Unemployment_Rate,1.0,0.4794420599489802,-0.5399885531997041,0.6766086957789096,0.6288745579438043,0.7361858554751369,0.4526920353064902,0.2894710036391108,-0.514717614027987,0.5842882955802923,0.275456501407568,-0.09076186308446767,-0.24931085073575285,-0.2920221363731543,-0.29339649512984856,0.3426384229767534,0.5319215728054923,-0.38136882714050696,0.2587734075445222,0.499291094218323,0.2717024181301819,-0.27170241554896685,0.06972914014680107,0.2854197427895957,0.43383670835800114,0.5691822146435438,0.39894388442429546,-0.5651156708687829,0.5002047614344166,0.7120817825714009,-0.012028109136084722,-0.7019473874134211,-0.5837047078755988,-0.7240788954965165,-0.39998994460657694,0.6320094596784709,-0.18208364145111708,0.42101368048545745,0.6027381328064936,-0.740310861245207,0.014005509534791872,0.5922093419829071,0.3567373388125622,0.46486606916876894,-0.4236285086676099,0.4568188233420382,0.259010562811832,0.0934519667940843,-0.6127450748699501,-0.5001378711037804,-0.32169093659156917,0.37618289759612855,0.793005266313904,0.45714215504712397,-0.34847730361961066,-0.17117041036322106,0.5543949522083899,-0.18188509163523162,-0.13401796611985078,-0.14089647796950247,0.4418569234647039,0.7167753958201021,-0.7276183729287986,-0.7224104340918054,0.7980560647584813,0.7200488018652484,0.5432680504649962,0.5808682037239934,0.5918679634170976,0.18417265226995283,0.271394683345912
Student_Rate,0.4794420599489802,1.0,-0.6354750856464246,0.37126203812051983,0.12177278054213728,0.39353215452269025,0.4490150178166343,0.41183043546987147,-0.614473164225359,0.011621716502440805,-0.26568739577468564,-0.4325319479498329,-0.6035119185848983,-0.06018871409537215,0.18611334611271266,0.06160507785092721,-0.06970682378368938,0.21236035621435242,-0.30825012792377104,-0.05532131319996085,-0.22783353090718023,0.2278335348126138,0.31330948032026246,0.5724654845753763,0.5939447776601654,0.5562548357334475,0.5362357731865985,-0.6217847462691384,0.611028861242079,0.45735582404816794,-0.11155184407554912,-0.46507427146636093,-0.36714454116795986,-0.5099755663149308,0.06214794938840629,0.5392624424134967,-0.47839124814950906,0.3212064759632412,0.33864391646034064,-0.5159402824685954,0.04469371844006318,0.2732019529539938,0.40542227748852655,0.24836898164898802,-0.3899243368516318,0.34710832787717244,0.33830058657127887,0.05019323301537364,-0.1871967929579831,-0.5454722850300129,-0.29683588249599197,-0.19858009333666846,0.29047245271280486,0.9674948077612132,-0.3451285942980173,-0.48609129885788516,0.1752525307134786,0.17844996496624857,0.03908763710807318,0.02421802020012852,0.3924352156000205,0.2620456212422371,-0.27602447632366983,-0.27611644152760323,0.29800216008796027,0.17534327892740115,0.04853939998332349,0.14690467485112577,0.33065564554132243,0.23018608982901007,0.2809171667121595
Retired_Rate,-0.5399885531997041,-0.6354750856464246,1.0,-0.5170459841458326,-0.2992871526789265,-0.6007046064514174,-0.5733890002646878,-0.7971710306402168,0.9852178029728128,-0.11728793403093683,0.010675301551064014,0.2624336364968036,0.5403349180209879,0.15090342961131503,-0.07832437554295021,-0.06197797930808121,-0.08769509998665967,-0.2227967505374677,0.34775548311426707,0.02492176375468525,0.2710186891119056,-0.271018689266625,-0.3381196040487949,-0.5020551593292802,-0.5860915665642169,-0.6703122149592345,-0.6405816682135707,0.6084170718807347,-0.62508896963775,-0.5678041282819479,-0.015349520336851994,0.5767028518161748,0.5326944721024487,0.6028043570441212,0.06564242384288957,-0.6476593308488028,0.4362072254012714,-0.39115168059252825,-0.41811250210612205,0.703043391468574,-0.1891318368885779,-0.4513492043795841,-0.5787946535951158,-0.28859665169284704,0.4813596352345355,-0.47504399783930623,-0.3842379114257322,-0.046066902119798595,0.2727903422230755,0.48123715477174156,0.3584419221728007,-0.09232530590387873,-0.36989836469051235,-0.648912601971612,0.43817395580945445,0.3609292453788658,-0.3089710847783469,-0.13363776829104632,0.17135217364092362,0.020121697486346853,-0.5285314706585306,-0.4547244556945346,0.46552996300330146,0.4634759271518565,-0.45618171844945,-0.3132199580277838,-0.2894152705807249,-0.2705865441795614,-0.5005994254744887,-0.24026422125810287,-0.32936935965293135
Home_Family_Rate,0.6766086957789096,0.37126203812051983,-0.5170459841458326,1.0,0.5231309390079707,0.6856254879408916,0.6696728558006528,0.11102143730347126,-0.5051189108205797,0.5927192968427095,0.3697354611403312,0.06018060042390281,-0.26397470406178647,-0.3947794466496148,-0.29170026343461924,0.3579814623461902,0.5661364638339031,-0.2404194802081792,0.12563485868745425,0.3650205751896582,0.0997824112872008,-0.09978241078878328,-0.13861298119367796,0.16920655053785127,0.47277141065447975,0.462833307880023,0.3159158761831797,-0.5768146043044773,0.4505374746640915,0.4558479268426782,-0.024912821178776804,-0.4442433298944005,-0.32272525214106745,-0.4470186424194031,-0.35563797551679005,0.49794050560051206,-0.0688535719023025,0.21853157615354254,0.5439652340362781,-0.5540379998125986,0.03364443322678133,0.5303882194824954,0.21571712711597804,0.40265872554716314,-0.1755052800483451,0.26980396574500065,0.07039121607061204,0.004145914629872723,-0.5293154562200096,-0.4188522358708144,-0.10499821285342431,0.3591365876119308,0.7194901780584706,0.32858639042199056,-0.23128251725789328,-0.06443070759740946,0.5063113560459813,-0.12613366692411856,-0.2946651971981622,-0.23509538230235344,0.2714699242712544,0.6126390134055582,-0.6298234468768217,-0.6269443764373296,0.7038146101707407,0.6008686731153563,0.5084968567962714,0.3736155731183444,0.4687398781271068,0.2480873912891653,0.1882843822698534
LongTerm_Sick_Disabled_Rate,0.6288745579438043,0.12177278054213728,-0.2992871526789265,0.5231309390079707,1.0,0.6144861796956986,0.3040361975561171,0.11699322946274114,-0.27929797402513795,0.7635904117380403,0.5184767309872379,0.21693452993849488,0.14270577507870252,-0.11977947552872269,-0.5861973317477557,0.2545757133177214,0.7420952053321456,-0.773424158547316,0.6447861092244296,0.8477439436891088,0.7298810526657601,-0.7298810513208348,-0.09363957090488892,-0.06423240292201259,0.027824878437651152,0.20739451699368644,0.05883400458736988,-0.1281868941041243,0.09773022186314861,0.6394119424534632,0.12163815888407928,-0.5739257589316773,-0.5224106289525735,-0.5607890872944261,-0.6455490826887155,0.32675721296103577,0.21814713999796273,0.43660077136038633,0.5444040169124609,-0.6364273540503703,0.0015494130384435577,0.7257730290960179,0.15694760847499492,0.44081824114429946,-0.19858626872902688,0.3232050872843691,0.05917326585085661,0.02541172556159139,-0.7498587466110025,-0.31579163780381286,-0.33205436695669543,0.713417751957866,0.7908339313956817,0.10465692355167869,-0.18298211561596897,0.1742290387372365,0.5902880908637133,-0.5091975939186197,-0.02400314506104145,-0.2340722718608459,0.2691234046572483,0.8644219534418036,-0.8671290715121599,-0.8610449705341439,0.8670995071152633,0.895812669871589,0.7622649596499089,0.8240798245120312,0.5759610285149058,-0.0563588974932384,0.1337287489461595
Other_Inactive_Rate,0.7361858554751369,0.39353215452269025,-0.6007046064514174,0.6856254879408916,0.6144861796956986,1.0,0.4109718093265985,0.38742492431002684,-0.5584809444442391,0.5786850980714562,0.2852674517586937,-0.09300166618850106,-0.24029890914446486,-0.3500963023824868,-0.25668111226823487,0.35859973309069015,0.5300921336792762,-0.32540413902857424,0.21054626238718258,0.43916124038554577,0.20377057357448408,-0.20377057263181614,0.08472222408892117,0.30474031172375726,0.46687055148616297,0.5617716406797364,0.3951099629376402,-0.5811456713134759,0.5329309087093311,0.6712706790048071,0.033818210358727875,-0.6639486793559041,-0.5425250759400161,-0.6637804310870499,-0.36635904985730433,0.603147866605347,-0.1910293118061668,0.4147350486164403,0.6016992654306018,-0.7084242994384076,0.0601982243849845,0.5721586890584767,0.4427072903069923,0.40726581200515605,-0.4153997901935622,0.451229336766287,0.30810670727847755,0.1376148898786882,-0.565514763059223,-0.4776246209380328,-0.19840195099855495,0.38690140740747253,0.7793778944258449,0.3648151549743649,-0.30979971694804187,-0.1536537246126507,0.5241086592240511,-0.148955554343721,-0.1997965649305758,-0.11949183928164515,0.3885327421606014,0.7265728238438968,-0.7338473387681156,-0.7294014363643724,0.7341481569936732,0.6515622880560761,0.5445286427881764,0.5302989661648538,0.5995136349769208,0.2212912007891051,0.3339561627090656
Young_Population_Rate,0.4526920353064902,0.4490150178166343,-0.5733890002646878,0.6696728558006528,0.3040361975561171,0.4109718093265985,1.0,-0.0028775369540448878,-0.6285611987554492,0.3495744785671286,0.3165316691497497,0.20983072100545927,-0.23055750727417906,-0.09683488768280027,-0.2742688440674164,0.13404399928475214,0.363837141703553,0.04393892260575621,-0.1398721297459304,0.0914348232062403,-0.11092346417744524,0.1109234670924732,-0.20159627121679105,0.04867255258051645,0.3935506206202071,0.39934718235876004,0.3184385524269436,-0.4256677283369113,0.29595489463868724,0.21597863366755693,0.0530300697414782,-0.16581884088286492,-0.21653335757879477,-0.17982052667277376,-0.3258790980174078,0.3349117863241264,0.0502790706443893,0.12856123669174208,0.3727879816053818,-0.3449929971102594,0.07505505668990983,0.38742325809513956,0.029406718076114835,0.2973385817176014,0.05462331069428787,0.11766816503795477,-0.12792800327567339,-0.16342801436871454,-0.4142520031445338,-0.20935276456084834,-0.259661251834506,0.2634036707584315,0.40209835743600136,0.43827997748651615,-0.30744952179287627,-0.030804899849910892,0.38627872504099564,-0.1506755283823591,-0.04037643581159357,-0.31053148687751936,0.29391787187610485,0.35380351378528924,-0.37399842443145637,-0.37346601805697843,0.4900531540451782,0.3899198259615502,0.37997151395984236,0.23830938789823738,0.3138893245625975,0.08572208350225012,-0.000878902565829645
Working_Age_Rate,0.2894710036391108,0.41183043546987147,-0.7971710306402168,0.11102143730347126,0.11699322946274114,0.38742492431002684,-0.0028775369540448878,1.0,-0.7718716923719156,-0.14009011181886433,-0.22639119428005264,-0.42699574466016954,-0.44841149441188366,-0.0633629239876081,0.2873677971192349,-0.06362306246952242,-0.17502302589369093,0.268443144296568,-0.3473381473572647,-0.12651628151515676,-0.273180518888801,0.2731805175826932,0.5210410842509582,0.5259312834786652,0.4093064264465658,0.4993483267645179,0.5294855359776828,-0.3930881684010612,0.5036841361000013,0.4962071471878615,3.6158621682110564e-05,-0.5303811601834888,-0.48581961321782513,-0.5575849734323859,0.1429951015704592,0.517543282840717,-0.5214992048276837,0.34847792234913905,0.2092355656454024,-0.5548411186018273,0.17296696221832686,0.23234054328765327,0.638976701017148,0.11486264912031985,-0.5705196559666845,0.451000941157198,0.5038780380634302,0.13130925215668388,-0.010754132846737208,-0.3631062692231783,-0.3062882887555651,-0.05989949829998162,0.12163621599196958,0.44428279275768695,-0.3423638007182795,-0.37312011742831463,0.07925254701982704,0.24696508909015694,-0.13322177681572742,0.16004920230324274,0.44988540943060856,0.2558439366532897,-0.2572893160524484,-0.25579943674047645,0.17147658127925777,0.07857585788236215,0.061210527017627615,0.1546499296214843,0.3695839375908002,0.16963365334131333,0.34758934065566915
Elderly_Population_Rate,-0.514717614027987,-0.614473164225359,0.9852178029728128,-0.5051189108205797,-0.27929797402513795,-0.5584809444442391,-0.6285611987554492,-0.7718716923719156,1.0,-0.11047465994425391,-0.017000280270316737,0.20839372906090978,0.5012346228550194,0.10990324209354103,-0.051258299242113774,-0.03621263811374235,-0.09067300958552586,-0.23981325983632762,0.36184688972331974,0.04352703619895712,0.28436625590736353,-0.28436625663851617,-0.2872688206614285,-0.44797570010780735,-0.569268324183848,-0.6431132583502324,-0.614740786611969,0.5779362551634695,-0.5823174815677069,-0.5273482669350917,-0.032034672378372604,0.5232567466183506,0.5183142714574297,0.5534058419081123,0.09293618223156998,-0.6164827706624884,0.37845919687037516,-0.35748012641805105,-0.40051499833144777,0.6542056773822146,-0.1805954593502076,-0.4242880947697724,-0.5199171762332508,-0.2780680559085721,0.4153643231566057,-0.4284016430158567,-0.3150405340773183,-0.0013192566942936248,0.27150294819225335,0.4212368145543838,0.4073052122759678,-0.11323647109352261,-0.3468477337585224,-0.6329932097945322,0.4616105629901481,0.3169911411671763,-0.3077078015383019,-0.09868956827410591,0.12828079978965193,0.07041914153626183,-0.5380042321481678,-0.42340457870648796,0.43710628300726284,0.43555449621287173,-0.4422386319798587,-0.3062428351091653,-0.2880238711964118,-0.27298998202208513,-0.4855607887517324,-0.1888979079832542,-0.2732386169019104
No_Qualification_Rate,0.5842882955802923,0.011621716502440805,-0.11728793403093683,0.5927192968427095,0.7635904117380403,0.5786850980714562,0.3495744785671286,-0.14009011181886433,-0.11047465994425391,1.0,0.6952592009113177,0.3324640915143137,0.2929776051633296,-0.18052707700521567,-0.7963411833066603,0.45758534240747634,0.9764250033637055,-0.7685426005660191,0.6933544189709272,0.7710176098933857,0.6146993354880531,-0.6146993331618034,-0.3404840538148514,-0.1788857861361758,0.07811397411600553,0.16312504386274618,-0.09268405017901472,-0.19383290381924054,0.06011313689538633,0.46780545762795733,0.10635533867740248,-0.3982183281350855,-0.33466161360387475,-0.37179576212226334,-0.795730298939015,0.24160702342064447,0.42287667927684386,0.2812326719511472,0.5501034847075089,-0.4206507977001566,-0.09206702264629736,0.5371351208104598,0.007128751692142347,0.4127864486994532,0.05304247704218339,0.10051481721755136,-0.16977075160988148,-0.002183447517067452,-0.8671330963696392,-0.17707268693134456,-0.22517966757748,0.8110397157792103,0.8143635547760604,-0.0010540478042446273,-0.13957966445503286,0.40417165189209314,0.7241106486069792,-0.6285285134353513,-0.17392938907501534,-0.4131267026076989,0.18936937299474338,0.7587423533280606,-0.7602879457316448,-0.7552509148479009,0.7817344702750728,0.7890790248451807,0.8296127298857885,0.7057213616061155,0.4827006328494975,-0.05206784714327127,0.054925388206491836
